Fiscal Year,Related Govt Units,Organization Group Code,Organization Group,Department Code,Department,Program Code,Program,Character Code,Character,Object Code,Object,Sub-object Code,Sub-object,Fund Type Code,Fund Type,Fund Code,Fund,Fund Category Code,Fund Category,Purchase Order,Supplier & Other Non-Supplier Payees,Vouchers Paid,Vouchers Pending,Encumbrance Balance,Vouchers Pending Retainage,data_as_of,data_loaded_at,Non-Profit Indicator,Contract Number,Contract Title,Purchase Order Date,Purchasing Authority Description
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT1000107701,KNORR BRAKE CORP,6858.19,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDL,Water Pumping,521,Non Personnel Services,528,Maint Svcs-Building&Structures,528990,Other Bldg Maint Svcs,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW0900419801,PACIFIC AUXILIARY FIRE ALARM CO,3648.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,BILLIERAE ENGELMAN,122.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,5,Culture & Recreation,ART,ART Arts Commission,EEJ,Art Commission-Administration,540,Materials & Supplies,549,Other Materials & Supplies,549250,Minor Data Processing Equipmnt,2S,Special Revenue Funds,2SCRF,Culture & Recreation Fund,3.0,Continuing Projects,POAR1000000501,XTECH,657.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAW,City Capital Projects,521,Non Personnel Services,527,Profess & Specialized Svcs,527040,Construction Contracts,1G,General Fund,1GAGF,General Fund,3.0,Continuing Projects,ENEN0900001001,SEAN W SMITH INC,5566.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDH,Power Utility Field Services,540,Materials & Supplies,542,Building & Constructn Supplies,542110,Electrical,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1000046103,COLE HARDWARE,0.0,0.0,,2737.5,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",PUC,PUB Public Utilities Bureaus,BCI,Water Capital Projects,521,Non Personnel Services,527,Profess & Specialized Svcs,527020,Engineering Services,5W,PUC Water Department Funds,5WCPF,Water Capital Projects Fund,3.0,Continuing Projects,DPUW0900225701,M W H AMERICAS INC,2607.72,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG5,Airport Director,521,Non Personnel Services,522,Training,522020,Training Costs Paid To Vendors,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,Direct Payments,CALIFORNIA STATE UNIVERSITY - EAST BAY,2196.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,LEE SONKO,340.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAG,Construction Management Services,521,Non Personnel Services,535,Other Current Expenses,535110,Cleaning Laundry,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5.0,Work Orders/Overhead,DPCN1000000201,ARAMARK UNIFORM SERVICES,249.48,28.35,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BDC,Wastewater Treatment,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1.0,Operating,DPWP1000030101,POWER PLANT SUPPLY,390.09,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDA,Administration,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1000112901,BRENTON SAFETY SOLUTIONS DIV OF MALLORY,211.55,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,KEVIN JAMES PHILLIP,330.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT1000234101,CITY PAINTS,1760.49,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG5,Airport Director,540,Materials & Supplies,549,Other Materials & Supplies,549990,Other Materials & Supplies,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,DPAC1000136901,CAMERA BOUTIQUE INC,319.37,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDK,Water Transmission/ Distribution,540,Materials & Supplies,542,Building & Constructn Supplies,542610,Plumbing Supplies,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1000259901,MEASUREMENT CONTROL SYSTEMS,4489.5,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDM,Water Treatment,540,Materials & Supplies,542,Building & Constructn Supplies,542610,Plumbing Supplies,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1000426801,STATE PLUMBING & HEATING SUPPLIES,0.0,0.0,,445.74,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,Yes,6,General Administration & Finance,RET,RET Retirement System,FDD,Retirement Services,540,Materials & Supplies,549,Other Materials & Supplies,549410,Minor Furnishings,7P,Pension Trust Funds,7PRET,Employees' Retirement System,1.0,Operating,DPRS1000010501,WORKSPACE SOLUTIONS,0.0,0.0,,3851.21,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",DPW,DPW GSA - Public Works,BAG,Construction Management Services,540,Materials & Supplies,544,Hospital;Clinic & Lab Supplies,544310,Laboratory Supplies,2S,Special Revenue Funds,2SPWF,"Public Works, Transp. & Commerce Fund",5.0,Work Orders/Overhead,DPCN1000004201,PACIFIC NUCLEAR TECHNOLOGY,835.01,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,DPE,Emergency Services Agency,521,Non Personnel Services,527,Profess & Specialized Svcs,527890,Other Medical Services,2S,Special Revenue Funds,2SCHS,Community Health Services Fund,3.0,Continuing Projects,Direct Payments,UCSF MEDICAL CENTER,28434.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,5,Culture & Recreation,REC,REC Recreation & Park Commsn,FAL,Children's Baseline,540,Materials & Supplies,549,Other Materials & Supplies,549610,Recreation & Athletic Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPRP1000032101,ACTION SPORTS,5146.5,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,1,Public Protection,PDR,PDR Public Defender,AIB,Criminal And Special Defense,521,Non Personnel Services,526,Court Fees & Oth Compensation,526990,Other Fees,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,IMMIGRANT LEGAL RESOURCE CENTER,60.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDG,Power Purchasing/ Scheduling,540,Materials & Supplies,549,Other Materials & Supplies,549250,Minor Data Processing Equipmnt,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,POUH1000011701,EN POINTE TECHNOLOGIES SALES INC,229.16,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FEQ,Grants For The Arts,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPAD0900065401,COMPOSERS INC,7500.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDJ,Water Source Of Supply,521,Non Personnel Services,535,Other Current Expenses,535990,Other Current Expenses,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,Direct Payments,DIANA R DYKSTRA,375.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFH,Facilities Mgmt & Operations,521,Non Personnel Services,535,Other Current Expenses,535810,Advertising,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,DAILY JOURNAL CORPORATION,47.25,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDJ,Water Source Of Supply,521,Non Personnel Services,535,Other Current Expenses,535990,Other Current Expenses,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,Direct Payments,ROGER SZETO,0.0,250.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDK,Water Transmission/ Distribution,540,Materials & Supplies,543,Equipment Maintenance Supplies,543310,Vehicle Parts-Supplies,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1000212001,STILES TRUCK BODY & EQUIPMENT INC,29.62,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG6,Facilities,521,Non Personnel Services,521,Travel,521060,Non-Air Travel - Non-Employees,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,2.0,Annual Projects,Direct Payments,AMERICAN ASSOCIATION OF AIRPORT EXECUTIV,950.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDO,Hetchy Water Operations,521,Non Personnel Services,535,Other Current Expenses,535510,Copy Machine,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1000002401,XEROX CORPORATION,2944.84,305.41,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,CAO,Administrative Support,540,Materials & Supplies,549,Other Materials & Supplies,549510,Other Office Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPSS1000082801,RICOH AMERICAS CORPORATION,546.89,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,CAM,Adult Services,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPAG1000007003,ASIAN AMER ADVNCNG JSTC-ASIAN LAW CAUCUS,95600.84,25619.15,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BCP,Hetch Hetchy Capital Projects,540,Materials & Supplies,549,Other Materials & Supplies,549250,Minor Data Processing Equipmnt,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,3.0,Continuing Projects,DPUH1000066401,ERGO WORKS INC,355.37,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BE3,"Security, Safety, Training & Enforcement",521,Non Personnel Services,528,Maint Svcs-Building&Structures,528010,Scavenger Services,5N,MTA Parking & Traffic Funds,5NAAA,Parking & Traffic Operating Fund,1.0,Operating,DPPK1000001601,RECOLOGY SUNSET SCAVENGER COMPANY,2225.5,445.1,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,DMF,Forensics - Ambulatory Care,540,Materials & Supplies,544,Hospital;Clinic & Lab Supplies,544990,"Other Hosp, Clinics&Lab Supply",1G,General Fund,1GAGF,General Fund,1.0,Operating,DPHG1000006101,S F DENTAL SUPPLY LLC,73.51,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,CAO,Administrative Support,540,Materials & Supplies,549,Other Materials & Supplies,549510,Other Office Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPSS1000076901,GIVE SOMETHING BACK INC,1619.72,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDM,Water Treatment,540,Materials & Supplies,542,Building & Constructn Supplies,542110,Electrical,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1000041901,MALTBY ELECTRIC SUPPLY CO INC,843.33,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,521,Non Personnel Services,531,Rents & Leases-Equipment,531410,Medical Equipment Rental,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,DPHG1000018201,SIZEWISE RENTALS LLC,3648.55,0.0,,66479.13,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,POPT1000021401,NORTH AMERICAN BUS INDUSTRIES INC,1182.01,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,DPB,Environmental Health Services,540,Materials & Supplies,545,Safety,545990,Other Safety Expenses,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPHC1000081401,BRENTON SAFETY SOLUTIONS DIV OF MALLORY,101.84,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,5,Culture & Recreation,WAR,WAR War Memorial,EED,Operations & Maintenance,521,Non Personnel Services,528,Maint Svcs-Building&Structures,528990,Other Bldg Maint Svcs,2S,Special Revenue Funds,2SWMF,War Memorial Fund,1.0,Operating,DPWM1000001201,"SYSERCO, INC",6651.05,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,D1P,SFGH - Acute Care - Psychiatry,521,Non Personnel Services,535,Other Current Expenses,535510,Copy Machine,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,DPHG0900075001,KONICA MINOLTA BUSINESS SOLUTNS USA INC,3274.6,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,NELLIAN FIGUEROS,250.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BDC,Wastewater Treatment,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1.0,Operating,DPWP1000058301,FLUID GAUGE COMPANY,88.37,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BCP,Hetch Hetchy Capital Projects,521,Non Personnel Services,535,Other Current Expenses,535990,Other Current Expenses,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,3.0,Continuing Projects,DPUC1000074001,LAN DO & ASSOCIATES LLC,0.0,176.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,ELIJAH JIMENEZ,122.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,521,Non Personnel Services,528,Maint Svcs-Building&Structures,528990,Other Bldg Maint Svcs,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,2.0,Annual Projects,DPHG1000147801,RAS ENGINEERING INC,0.0,52250.0,,4720.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,WILLIAM LI,122.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",PRT,PRT Port,BKY,Maintenance,540,Materials & Supplies,542,Building & Constructn Supplies,542980,Other Construction Materials,5P,Port Of San Francisco Funds,5PAAA,Port Operating Fund,1.0,Operating,DPPO1000071401,BAYSHORE METALS INC,3613.5,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,5,Culture & Recreation,REC,REC Recreation & Park Commsn,ECQ,Citywide Services,540,Materials & Supplies,549,Other Materials & Supplies,549610,Recreation & Athletic Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPRP1000222001,NATIONAL TROPHY CO,106.87,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT0900559601,BATTERIES U S A INC,8486.25,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,DHA,Central Administration,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529990,Other Equip Maint,1G,General Fund,1GAGF,General Fund,2.0,Annual Projects,POHC1000006501,ORACLE USA INC,2285.93,0.0,,6857.79,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,3,Human Welfare & Neighborhood Development,CHF,CHF Children;Youth & Families,CBI,Children's Fund Programs,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,2S,Special Revenue Funds,2SCHF,Children's Fund,1.0,Operating,DPCH0900027901,CONSCIOUS YOUTH MEDIA CREW,1800.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDN,Hetch Hetchy Power,540,Materials & Supplies,549,Other Materials & Supplies,549410,Minor Furnishings,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH1000063501,ANDYS HOME CENTER,20.65,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,1,Public Protection,SHF,SHF Sheriff,AFP,Sheriff Programs,521,Non Personnel Services,528,Maint Svcs-Building&Structures,528030,Pest Control,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPSH1000000806,AGURTO CORPORATION DBA PESTEC,1973.68,164.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDN,Hetch Hetchy Power,521,Non Personnel Services,527,Profess & Specialized Svcs,527990,Other Professional Services,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,POUH1000006801,TESTING ENGINEERS INC,5500.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BCP,Hetch Hetchy Capital Projects,521,Non Personnel Services,529,Maintenance Svcs-Equipment,529990,Other Equip Maint,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,3.0,Continuing Projects,DPWP0900262301,ANCHOR FENCE CO INC,4563.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT0900186901,KNORR BRAKE CORP,965.87,0.0,,260.4,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDM,Water Treatment,540,Materials & Supplies,542,Building & Constructn Supplies,542810,Small Tools And Intruments,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,DPUW1000343301,M S C INDUSTRIAL SUPPLY COMPANY INC,7099.91,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",CWP,WWE Wastewater Enterprise,BDE,Wastewater Collection,540,Materials & Supplies,543,Equipment Maintenance Supplies,543990,Other Equipment Maint Supplies,5C,PUC Wastewater Funds,5CAAA,Wastewater Operating Fund,1.0,Operating,DPWP1000136301,WECO INDUSTRIES LLC,217.68,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",ECN,ECN Economic & Wrkfrce Dvlpmnt,BL1,Workforce Training,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,2S,Special Revenue Funds,2SCDB,Community Development Fund,4.0,Grants,DPBE0900002801,JEWISH VOC & CAREER COUNSELING SVC (JVS),188719.85,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,INGRIED SEQUNDO,122.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,542,Building & Constructn Supplies,542110,Electrical,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT1000084501,COLE HARDWARE,0.0,0.0,,547.24,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,1,Public Protection,CRT,CRT Superior Court,AML,Indigent Defense/Grand Jury,521,Non Personnel Services,526,Court Fees & Oth Compensation,526110,Attorney Fees-Criminal,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,LAW OFFICES OF ROBERT M AMPARAN,185796.29,1255.57,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,542,Building & Constructn Supplies,542310,Lighting,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT1000211301,T & S TRADING & ENTERPRISE CO,2480.18,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT1000293301,VAPOR RAIL,0.0,0.0,,6297.62,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,4,Community Health,DPH,DPH Public Health,DA5,Laguna Honda - Long Term Care,540,Materials & Supplies,544,Hospital;Clinic & Lab Supplies,544990,"Other Hosp, Clinics&Lab Supply",5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1.0,Operating,DPHL1000097501,ARMSTRONG MEDICAL INDUSTRIES INC,172.53,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2010,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG6,Facilities,540,Materials & Supplies,542,Building & Constructn Supplies,542990,Other Bldg Maint Supplies,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,1.0,Operating,DPAC1000154101,BUCKLES-SMITH ELECTRIC CO,0.0,115.96,,1000.85,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
